contract_address,transaction_hash,log_index,block_number,event_type,minter,mintAmount,mintTokens
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x69ea69b4d9d9e24a3308cdc6367d6115aa829458eee6137190c17bc13ef5f0d4,358,6895666,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,31348634570281858,43735507775481301
0x650b940a1033b8a1b1873f78730fcfc73ec11f1f,0xd51835164184566cf1d4aea66b719120892dbc0c98f5be3e59e67410b7b2ffbe,607,6895666,Mint,0xefbfc05a3ee143d13793972e1fe789c17c1e5147,499460000000000000000,2484786282199
0x9730c791743300e9f984c9264395ce705a55da7c,0x20af88177711a446f241440135d9f547bcd1470ed61e9e2818a694be6038bd25,694,6895666,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,100000000000000000000,15530472782664807
0x87c182edb12f74d561519ab586205fe6cd75363a,0xe42d8ec8203b677d42f59c5ff956a8fc56f71705b94c9f51fb7bae978dda7828,707,6895666,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,6581342367907138782,104335663065223465633
0x0c5da0f07962dd0256c079248633f2b43cad6f62,0x6de8b2b550edc241ca4ff3074149e958be1503e6a4e1cc1711fc5e65a55eb056,750,6895666,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,2267364734,149999999963819972
0xe482249cd295c0d1e9d2baaee71e66de21024c68,0x40f1944f38b907bb7fc6e064f1528abed4c06d1a824e57312ffa7ddb3c5b215a,766,6895666,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,167480054962866394673,999999999999999999
0x2ff3d0f6990a40261c66e1ff2017acbc282eb6d0,0xb6ceffb30065dc803804986cb0bb97093dff090a3387443135996d9bcefbcf12,776,6895666,Mint,0x4089bd5c7544de334b0fbc125654cefbb9b62cde,711532625483241221689,3545876365399
0x81919f10a6a830a415352cd20d28d2bfccee8baa,0xbfafa4946fa3a60309a3f446517d8c75dd932fa15a52312fc8fb644ceb35c12c,77,6895566,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,292350116337351629,250000000000000000000
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0xd5bb8c09eb4718a6edda3be0a38ba37eb0f2ab38e80e767cd5db12044e51897d,367,6895566,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,1717135185511,2396148748460
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x1ebcd1a3401a1f140bc11cff2b26acc9be069530ae06832e9f42a64a7fda6a0a,589,6895566,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,1388022846008831647,1936805062824571035
0x3e42c1f7239231e3752b507764445dd8e6a570d5,0x3f11fcff820c53af50fda3ab304b172671ea553c37ab57def116de3d386dac4d,58,6895567,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,68501257989,887461144338463823171
0x01765ac81ce50cd640cd0f4abe061b14884632d7,0xdf2491d925fb1d89bb2a9362a2f52589b36b386ff2e851a0bf1d03d0a314e7cb,249,6895567,Mint,0xc0788a3ad43d79aa53b09c2eacc313a787d1d607,170567448765493012,2112248019
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x91547077df3596813eef84bae57ceb89151a66e8b2920836e86f26f16e2c9ddc,342,6895567,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,1061358051059447372,1480934774099146309
0xf3bc6fc080ffcc30d93df48bfa2aa14b869554bb,0xf98b2894386d95f1620c0e2718bcb9651408c0efb1a85364e2367972343ec815,382,6895567,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,66997770770645219474,445545747195075396361
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x223429947d024ac35f8bf5858825a2720d43fd21c7ac09549a6f07486e9c8f36,410,6895567,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,902367408610308074,1259054178558497031
0x0f954e4b6fc09bf87528924527306b209f2b329d,0x5dcaf37192a101aaddee7443d42aaaed88ab8c3934b1c070cec451933b187faf,687,6895567,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,177428522161123427,38770331055024333
0x78d9a0c50f6484291b4122f61888bb9ee71879ff,0x78d71b7827cc083c3953cad47d2ee156b993ba98c2739fc6f7a226ae004de2d6,215,6895568,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,590109694185298105785,117219229777407734
0x61eb789d75a95caa3ff50ed7e47b96c132fec082,0xe85fa1f00184acc68ec58d99de6d652ff361f7458b67c93c75e416028dd1dad4,514,6895568,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,1266380128599873,123586685911059855
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0xbfdf7d4ccdd903689bd630bb9161c487584c198e0a70c1b3937a8847b3cad880,161,6895569,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,16132366871202512,22509138583830925
0xc99e3abe7729a3869d5cad631bcbb90e3d389aa2,0xd067bf28546bd609c3f07c2c0795b9345b32e00306ffaf86d9db870af517be34,238,6895569,Mint,0xb7e19a1188776f32e8c2b790d9ca578f2896da7c,1156411790617259849,42139956918236229527
0xc5768c5371568cf1114cddd52caed163a42626ed,0x8f8b9557917b742063e33aa48805632b0d5cf0f3830f78638e0b348713e9a686,264,6895569,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,315665493752716020271469,26614816035480590626869
0x257dd90481a39e3ed42b518fba3beb390d9137df,0x91f295f45795db58ee241eacf7f58b206cab6be8e546868440591ff70e980822,299,6895569,Mint,0xb7e19a1188776f32e8c2b790d9ca578f2896da7c,8986124313674207880567,681623123180347907402
0xcad7019d6d84a3294b0494aef02e73bd0f2572eb,0xa2900fbb75fe3f8a434048dec19931ab44e520001e0cfa088fce3fe48f0f41a7,360,6895569,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,1628970000,27144956320612411542
0xf65c1c0478efde3c19b49ecbe7acc57bb6b1d713,0xab33c0f0cdb4566d2d4c335a49c1063900a31a0eef51ba75f07b6ca4c97642af,431,6895569,Mint,0xc0788a3ad43d79aa53b09c2eacc313a787d1d607,80000163097794035839,216288226283815881
0x151b1e2635a717bcdc836ecd6fbb62b674fe3e1d,0x0a6fdc8a8989763989bda13ade346354037c0f7a3ccb139a9d43cdf708b91f10,70,6895570,Mint,0xe8e825302ad3133e5e33cc7cca501ad18233d070,34397050530740289388,171841632724
0x87c182edb12f74d561519ab586205fe6cd75363a,0x1fbd2193adfdb6181396a31b35d423de8640ede549559c13a9160b9d9bd0e940,407,6895570,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,329341382885291796,5223417207001273306
0xdc9a574b9b341d4a98ce29005b614e1e27430e74,0x631eb5dbe8dc8a92941e929d8f9e5d53ebefdcd2de3fafd51080420ed3adeadd,194,6895571,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,140526039594348802,116262364455227971723
0x8c5b0e0e8d0db85a3aec2f1b8c2b8b740523f75b,0xeb2335aff301a0ebfc6e83af37a613ad4dbc888fc9b035d79c969ba6e5c97b6f,363,6895571,Mint,0x29d1adbb65d93a5710cafe2ef0e8131f64e6ab22,8834878178068467,2430439036694094383
0x8bb0d002bac7f1845cb2f14fe3d6aae1d1601e29,0x7d00001e237867ce601b2cc993a94f5fec3cbba043542b84cf9c717a47dc5f40,412,6895571,Mint,0x9454f17a6bcc36cfbc8a07011b33dafcebe4050b,3256000000000000000000,16279681112945
0xc869a9943b702b03770b6a92d2b2d25cf3a3f571,0xa096d0a5094772a3e9cac1d510d404c12866d317459ff0f69fe0f1831fb9c902,423,6895571,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,1371799025291782711266,4808872229546737161
0x95c78222b3d6e262426483d42cfa53685a67ab9d,0xf3ac5226da65d97569a29cf4ed02d9db8ebe452d0fdcd338f0a02d913c83a54d,454,6895571,Mint,0xa6c8a1cf8ebc3c312b44003a42d7ea72ddded5b6,24000000000000000018,117117207180
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x553d6496e2d467e6a0f045e5f170768744ae57e95174a904352c574f877f3562,492,6895571,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,9045373510702624,12620816701306237
0x4d0228ebeb39f6d2f29ba528e2d15fc9121ead56,0xfc16f41d6edf19f1da24ac80bcfdd26e1cd5f7ff0a35f80e57c481e326381e15,617,6895571,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,86606440174662344,368248277459888578
0x2ff3d0f6990a40261c66e1ff2017acbc282eb6d0,0xe1cea35b95a4a4b181ddf70911265667c183b74d3adb11e2031d4d36e3bcdd94,657,6895571,Mint,0x1445cbc4333df7a8cd1c234026d717e8e9163bfa,3028687413000000000000,15093268870322
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x8bb151fc94988b8158587e3c8972aa3c52d92d05c28327cb6c7d062f8cc70999,59,6895572,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,8154856683529466,11378294492316867
0x16940bc578c30c7c10a2cf8a150b98a8b1cee152,0x3ce8b55f63f3acadf94f3faa790d49a28adb1a8b3e50962003dabf02d8588d8b,200,6895572,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,802242798289824395,1704378691304430195
0x59fe1dcdcd8918fe7b4e76e21f27599d5a1eaadb,0x7f5f4127046528b7b7d7ec463f3de434e5bbd962a6f05161710967df38258018,282,6895572,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,1802248315242011082,18114883459220351735
0x19e7cbecdd23a16dfa5573df54d98f7caae03019,0xb7f504830a4609366fe131f6c7e5b004bf73f3e7fa2b69c061ed02839e231442,447,6895572,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,8643792834802019328,595501371559073191
0xd1b59d11316e87c3a0a069e80f590ba35cd8d8d3,0xd17cbb4309c775f988b01fcbcbf7295108a9ad60f49201a6aa6bc9bd69b86c83,479,6895572,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,14514591868447416,540432999255332107
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0xe8d8f72e79738443a1a3dd9b59d0f748e27f2aabd6fa398626462c067d176687,563,6895572,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,16656989970728292928,1038313727034359501
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x230d9e7a9b025901389bf966b69269e256d6c5725ee5a4b31030324ce6af678f,613,6895572,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,15662229617876229,21853157616698616
0xfa4d8f39e624c8bd369d36a0e154ee58ceb89169,0x1448285174bd38172e118324d195f385cd002aed32f34ed4b48ea9937668a222,666,6895572,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,25000000000000000,37592981113257852
0x3dcb1787a95d2ea0eb7d00887704eebf0d79bb13,0x9d31850333b10f5fefaeeb7751b34685823aea5e57123ac65b4c69a4f3237d39,119,6895573,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,361895785723238816664,400000000000000000
0xdc9a574b9b341d4a98ce29005b614e1e27430e74,0x4f0e4491e0df1b0a6e51966f3730848347dd5c0a544174f093545c84316fd21d,150,6895573,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,1711119479535228717,1415672121198561157850
0x13321acff4a27f3d2bca64b8beac6e5fdaaaf12c,0x6901bfd1814018c54c31a4b6a253c2cd96b3253c34c477921c0b9136c4c0340c,271,6895573,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,728166140460322078125,1915767784491186582
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0x079619751b53cecc00cbe2cd9659d26394de119f1289fa37c9f398cf21f410fe,406,6895573,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,159999587195648249758,9973578525532528489
0xd9bccbbbdfd9d67beb5d2273102ce0762421d1e3,0x0e7714c652495565f3947a3f839d029a6ebf30ad4ae00d9586ad89fc18754459,142,6895574,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,4314576200000000000,1158651469898811057
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0x9f6017846f4be2186d1fe562e88465f34dd88c3fa9b137bd29d7c23f7d353251,412,6895574,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,1585425760768363259,98827556986693854
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x1fc1e4e00f80b7611ed84b568360e925eccdb946c5e7767222ae7b0e708aa4d7,439,6895574,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,1436136946214492,2003811486507274
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0xaa51ecc22cfa3b793d780025d6f43aef3e47418bb65034a8edbf05d38e252f65,207,6895575,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,11999674030335538220,748000000000000000
0x47c42b0a056a9c6e9c65b9ef79020af518e767a5,0x6c51005cc01b9b8a0b85d178f7154d80c7e3d0e3381ac0e8182051c081329422,365,6895575,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,1631464978523710934563,27715718066711030537
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0x33c34e6559dac8335a8220cf2eba4bb491ed1dd725a7ed7b97e1f84b7d8f3a20,425,6895575,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,110043288014830587111,6859551286727047661
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0xbbdf03a4f77cbdeb113fbb5b2242683aaceb9fbe4262f8de60c382dcf063d5cc,483,6895575,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,29353941226912318,40956893078965968
0x0ed7e52944161450477ee417de9cd3a859b14fd0,0x3d6fcde9562156639c6c410d138cbbca86b72c950e21a25f0b72ba0f0b09fc41,58,6895576,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,28999691087420387825,1807696515634758357
0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a,0x88ab9b2004b0bd75507c971bd76b16b23155644e5d56b8e0fe001407e6932dac,236,6895576,Mint,0x05ff2b0db69458a0750badebc4f9e13add608c7f,103056321018370785,143791672293720655
0xa9338126a645aca52aa74ce65fbc1092eb67d335,0x54044175b0d77d456432306d269ac4b761bf4d0ee359ed2a663a0f9936eeed1e,302,6895576,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,1049250958622349146733,12646658210394412493
0xa07c5b74c9b40447a954e1466938b865b6bbea36,0x15087908e3fe600de1b01cd159fa67d68705189e677982b7c4e2336a322e7191,366,6895576,Mint,0xe5476721db576ad7541389325a03747a8786aeff,1000000000000000000,4946249626
0x56750c85358c998c28e22b5e6a9cb88e1b6ee0c9,0xac2667fcebab78197f9bc50a338545f25af2ee81330cf4721e2ab2e3234e9789,433,6895576,Mint,0x10ed43c718714eb63d5aa57b78b54704e256024e,28501084298,119533646633812006
