address,symbol,name,decimals,total_supply,block_number
0x55d398326f99059ff775485246999027b3197955,USDT,Tether USD,18,2979997922178664111664612760,
0x7c63f96feafacd84e75a594c00fac3693386fbf0,ASS,Australian Shepherd Token,9,10000000000000000000000000,
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,Wrapped BNB,18,6663219535107844583853070,
0xacfc95585d80ab62f67a14c566c1b7a49fe91167,FEG,FEGtoken,9,100000000000000000000000000,
0x668b9785aac4e9589e5cd56f9f358189681e2af6,ACID,LSD,18,1000000000000000000000000000000000,
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,CHI,Chi Gastoken by 1inch,0,44465595,
0x7e5d52c3335c91af0da392bea4bb9e43f2aba62c,Sheesh,Sheesh it is bussin bussin,18,420420696000000000000000000,
0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,BUSD Token,18,4200999999996203280118545633,
0xab9d0fae6eb062f2698c2d429a1be9185a5d4f6e,PASTA,Pasta Token,18,2591611461899364667219049,
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,PancakeSwap Token,18,300470295499873241868684758,
0x790be81c3ca0e53974be2688cdb954732c9862e1,BREW,CafeSwap Token,18,3268228181611356990327292,
0x9f589e3eabe42ebc94a44727b3f3531c0c877809,TKO,Tokocrypto Token,18,500000000000000000000000000,
0xc4daa5a9f2b832ed0f9bc579662883cd53ea9d61,BRICK,BrickChain,18,173412447288360260629629668,
0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,BANANA,ApeSwapFinance Banana,18,33582987865647807176495442,
0xb6c53431608e626ac81a9776ac3e999c5556717c,TLOS,pTokens TLOS,18,3478051415612103908366971,
0x3504de9e61fdff2fc70f5cc8a6d1ee493434c1aa,TeslaSafe,TeslaSafe,9,1000000000000000000000000,
0xffd4b200d3c77a0b691b5562d804b3bd54294e6e,Cake-LP,Pancake LPs,18,268522695613310867390588,
0xf7844cb890f4c339c497aeab599abdc3c874b67a,NFTART,NFTArt.Finance,9,100000000000000000000000000,
0xe6f3bb835575ca880f7fecaafd7233fae46bc6e7,KITTY,MyKitty,9,1000000000000000000000000,
0x5ddae05d2f854926e8070b435d2dfe5edca246d9,KET,Rowket,8,4596761772468033,
